Category,Workplace,Location,Department,Type,City,Region,Country,Workplace_Standardized,Employment_Type,Department_Category,Category_Normalized,Country_Normalized,City_Normalized,Job_ID,Location_ID,Department_ID,Category_ID,Priority_Class,Geographic_Region,Demand_Score,Demand_Score_Normalized,Created_At,Data_Quality_Score,Is_Active,Job_Description
Business Analyst,On-site,"Overland Park, Kansas, United States",Consulting,Contract,Overland Park,Kansas,United States,On-Site,Contract,Consulting & Advisory,Business Analyst,United States,Overland Park,JOB_000016,LOC_0157,DEPT_0050,CAT_000,Normal,North America,1,1.92,2026-02-23 17:13:21,100,True,"Provide strategic analysis and recommendations to clients. Conduct requirements gathering, feasibility studies, and business process re-engineering. Strong skills in stakeholder management, PowerPoint, and data-driven decision making. This is an on-site Contract position."
Business Analyst,Remote,"Brookfield, Wisconsin, United States",Security - Delivery,Full time,Brookfield,Wisconsin,United States,Remote,Full-Time,Technology & Data,Business Analyst,United States,Brookfield,JOB_000017,LOC_0036,DEPT_0221,CAT_000,Premium,North America,1,1.92,2026-02-23 17:13:21,100,True,"Bridge the gap between business needs and technical solutions. Analyze data systems, write functional specifications, and collaborate with development teams. Proficient in SQL, data modeling, and Agile methodologies. This is a fully remote Full-Time position."
Business Analyst,On-site,"Islamabad, Islamabad Capital Territory, Pakistan","Data & Strategy, Digital Analytics",Full time,Islamabad,Islamabad Capital Territory,Pakistan,On-Site,Full-Time,Technology & Data,Business Analyst,Pakistan,Islamabad,JOB_000018,LOC_0094,DEPT_0074,CAT_000,Normal,Asia Pacific,3,5.77,2026-02-23 17:13:21,100,True,"Bridge the gap between business needs and technical solutions. Analyze data systems, write functional specifications, and collaborate with development teams. Proficient in SQL, data modeling, and Agile methodologies. This is an on-site Full-Time position."
Business Analyst,Remote,"Athens, Attica, Greece",DELIV1,Full time,Athens,Attica,Greece,Remote,Full-Time,Other,Business Analyst,Greece,Athens,JOB_000029,LOC_0011,DEPT_0066,CAT_000,Normal-High,Europe,16,30.77,2026-02-23 17:13:21,100,True,"Analyze business operations and support strategic decision making. Gather requirements, document processes, and deliver data-driven recommendations using Excel, SQL, and visualization tools. This is a fully remote Full-Time position."
Business Analyst,On-site,"Astana, Aqmola oblısı, Kazakhstan",TECH,Full time,Astana,Aqmola oblısı,Kazakhstan,On-Site,Full-Time,Technology & Data,Business Analyst,Kazakhstan,Astana,JOB_000030,LOC_0010,DEPT_0233,CAT_000,Normal,Asia Pacific,2,3.85,2026-02-23 17:13:21,100,True,"Bridge the gap between business needs and technical solutions. Analyze data systems, write functional specifications, and collaborate with development teams. Proficient in SQL, data modeling, and Agile methodologies. This is an on-site Full-Time position."
Business Analyst,On-site,"North West, England, United Kingdom",Change+,Not Specified,North West,England,United Kingdom,On-Site,Not Specified,Other,Business Analyst,United Kingdom,North West,JOB_000031,LOC_0150,DEPT_0038,CAT_000,Normal,Europe,1,1.92,2026-02-23 17:13:21,100,True,"Analyze business operations and support strategic decision making. Gather requirements, document processes, and deliver data-driven recommendations using Excel, SQL, and visualization tools. This is an on-site Not Specified position."
Business Analyst,Hybrid,"Berlin, Berlin, Germany",Business & Organization,Not Specified,Berlin,Berlin,Germany,Hybrid,Not Specified,Other,Business Analyst,Germany,Berlin,JOB_000032,LOC_0029,DEPT_0026,CAT_000,Normal,Europe,3,5.77,2026-02-23 17:13:21,100,True,"Analyze business operations and support strategic decision making. Gather requirements, document processes, and deliver data-driven recommendations using Excel, SQL, and visualization tools. This is a hybrid Not Specified role with flexible work arrangements."
Business Analyst,Remote,"Washington, District of Columbia, United States",Account Team,Full time,Washington,District of Columbia,United States,Remote,Full-Time,Other,Business Analyst,United States,Washington,JOB_000033,LOC_0247,DEPT_0010,CAT_000,Normal-High,North America,7,13.46,2026-02-23 17:13:21,100,True,"Analyze business operations and support strategic decision making. Gather requirements, document processes, and deliver data-driven recommendations using Excel, SQL, and visualization tools. This is a fully remote Full-Time position."
Business Analyst,On-site,"Boston, Massachusetts, United States",Delivery,Full time,Boston,Massachusetts,United States,On-Site,Full-Time,Operations,Business Analyst,United States,Boston,JOB_000034,LOC_0032,DEPT_0085,CAT_000,Normal,North America,7,13.46,2026-02-23 17:13:21,100,True,"Analyze business processes and operational workflows to identify improvement opportunities. Gather and document business requirements, create process maps, and work with stakeholders to implement solutions. Use SQL and Excel to analyze operational data and generate reports. This is an on-site Full-Time position."
Business Analyst,On-site,"Orlando, Florida, United States",Information Technology,Full time,Orlando,Florida,United States,On-Site,Full-Time,Technology & Data,Business Analyst,United States,Orlando,JOB_000035,LOC_0153,DEPT_0137,CAT_000,Normal,North America,2,3.85,2026-02-23 17:13:21,100,True,"Bridge the gap between business needs and technical solutions. Analyze data systems, write functional specifications, and collaborate with development teams. Proficient in SQL, data modeling, and Agile methodologies. This is an on-site Full-Time position."
Business Analyst,On-site,"London, England, United Kingdom",Change+,Not Specified,London,England,United Kingdom,On-Site,Not Specified,Other,Business Analyst,United Kingdom,London,JOB_000036,LOC_0117,DEPT_0038,CAT_000,Normal,Europe,52,100.0,2026-02-23 17:13:21,100,True,"Analyze business operations and support strategic decision making. Gather requirements, document processes, and deliver data-driven recommendations using Excel, SQL, and visualization tools. This is an on-site Not Specified position."
Business Analyst,On-site,"Washington, District of Columbia, United States",Labs,Full time,Washington,District of Columbia,United States,On-Site,Full-Time,Other,Business Analyst,United States,Washington,JOB_000038,LOC_0247,DEPT_0148,CAT_000,Normal,North America,7,13.46,2026-02-23 17:13:21,100,True,"Analyze business operations and support strategic decision making. Gather requirements, document processes, and deliver data-driven recommendations using Excel, SQL, and visualization tools. This is an on-site Full-Time position."
Business Analyst,On-site,"Austin, Texas, United States",Data Management,Full time,Austin,Texas,United States,On-Site,Full-Time,Technology & Data,Business Analyst,United States,Austin,JOB_000049,LOC_0014,DEPT_0079,CAT_000,Normal,North America,2,3.85,2026-02-23 17:13:21,100,True,"Bridge the gap between business needs and technical solutions. Analyze data systems, write functional specifications, and collaborate with development teams. Proficient in SQL, data modeling, and Agile methodologies. This is an on-site Full-Time position."
Business Analyst,On-site,"Brisbane, Queensland, Australia","Australia Markets, Technical Services, Intelligence Workspace",Full time,Brisbane,Queensland,Australia,On-Site,Full-Time,Technology & Data,Business Analyst,Australia,Brisbane,JOB_000050,LOC_0034,DEPT_0019,CAT_000,Normal,Asia Pacific,1,1.92,2026-02-23 17:13:21,100,True,"Bridge the gap between business needs and technical solutions. Analyze data systems, write functional specifications, and collaborate with development teams. Proficient in SQL, data modeling, and Agile methodologies. This is an on-site Full-Time position."
Business Analyst,Hybrid,"Salt Lake City, Utah, United States",Delivery,Full time,Salt Lake City,Utah,United States,Hybrid,Full-Time,Operations,Business Analyst,United States,Salt Lake City,JOB_000051,LOC_0181,DEPT_0085,CAT_000,Normal-High,North America,2,3.85,2026-02-23 17:13:21,100,True,"Analyze business processes and operational workflows to identify improvement opportunities. Gather and document business requirements, create process maps, and work with stakeholders to implement solutions. Use SQL and Excel to analyze operational data and generate reports. This is a hybrid Full-Time role with flexible work arrangements."
Business Analyst,Hybrid,"Vancouver, British Columbia, Canada",Business Management,Full time,Vancouver,British Columbia,Canada,Hybrid,Full-Time,HR & Management,Business Analyst,Canada,Vancouver,JOB_000052,LOC_0241,DEPT_0028,CAT_000,Normal-High,North America,2,3.85,2026-02-23 17:13:21,100,True,"Analyze HR processes, workforce data, and organizational performance. Support HR digital transformation initiatives, HRIS systems, and people analytics reporting. This is a hybrid Full-Time role with flexible work arrangements."
Business Analyst,Remote,"Edinburgh, Scotland, United Kingdom","Business Services Professionals, Risk & Compliance",Full time,Edinburgh,Scotland,United Kingdom,Remote,Full-Time,Risk & Compliance,Business Analyst,United Kingdom,Edinburgh,JOB_000053,LOC_0071,DEPT_0031,CAT_000,Normal-High,Europe,1,1.92,2026-02-23 17:13:21,100,True,"Analyze risk frameworks and compliance processes. Document control requirements, perform gap analysis, and support regulatory reporting using GRC tools and Excel. This is a fully remote Full-Time position."
Business Analyst,On-site,"Swords, County Dublin, Ireland",HR,Full time,Swords,County Dublin,Ireland,On-Site,Full-Time,HR & Management,Business Analyst,Ireland,Swords,JOB_000054,LOC_0202,DEPT_0126,CAT_000,Normal,Europe,1,1.92,2026-02-23 17:13:21,100,True,"Analyze HR processes, workforce data, and organizational performance. Support HR digital transformation initiatives, HRIS systems, and people analytics reporting. This is an on-site Full-Time position."
Business Analyst,On-site,"London, England, United Kingdom",Credit Risk,Not Specified,London,England,United Kingdom,On-Site,Not Specified,Technology & Data,Business Analyst,United Kingdom,London,JOB_000056,LOC_0117,DEPT_0059,CAT_000,Normal,Europe,52,100.0,2026-02-23 17:13:21,100,True,"Bridge the gap between business needs and technical solutions. Analyze data systems, write functional specifications, and collaborate with development teams. Proficient in SQL, data modeling, and Agile methodologies. This is an on-site Not Specified position."
Business Analyst,Hybrid,"Athens, Attica, Greece",OPERATIONS,Not Specified,Athens,Attica,Greece,Hybrid,Not Specified,Operations,Business Analyst,Greece,Athens,JOB_000057,LOC_0011,DEPT_0163,CAT_000,Normal,Europe,16,30.77,2026-02-23 17:13:21,100,True,"Analyze business processes and operational workflows to identify improvement opportunities. Gather and document business requirements, create process maps, and work with stakeholders to implement solutions. Use SQL and Excel to analyze operational data and generate reports. This is a hybrid Not Specified role with flexible work arrangements."
Business Analyst,On-site,"Dublin, County Dublin, Ireland",Ryanair Labs Dublin,Full time,Dublin,County Dublin,Ireland,On-Site,Full-Time,Other,Business Analyst,Ireland,Dublin,JOB_000067,LOC_0069,DEPT_0214,CAT_000,Normal,Europe,6,11.54,2026-02-23 17:13:21,100,True,"Analyze business operations and support strategic decision making. Gather requirements, document processes, and deliver data-driven recommendations using Excel, SQL, and visualization tools. This is an on-site Full-Time position."
Business Analyst,On-site,"Hursley, England, United Kingdom",Tech+,Not Specified,Hursley,England,United Kingdom,On-Site,Not Specified,Technology & Data,Business Analyst,United Kingdom,Hursley,JOB_000069,LOC_0089,DEPT_0237,CAT_000,Normal,Europe,1,1.92,2026-02-23 17:13:21,100,True,"Bridge the gap between business needs and technical solutions. Analyze data systems, write functional specifications, and collaborate with development teams. Proficient in SQL, data modeling, and Agile methodologies. This is an on-site Not Specified position."
Business Analyst,On-site,"Sacramento, California, United States",ITPM,Full time,Sacramento,California,United States,On-Site,Full-Time,Technology & Data,Business Analyst,United States,Sacramento,JOB_000070,LOC_0180,DEPT_0133,CAT_000,Normal,North America,4,7.69,2026-02-23 17:13:21,100,True,"Bridge the gap between business needs and technical solutions. Analyze data systems, write functional specifications, and collaborate with development teams. Proficient in SQL, data modeling, and Agile methodologies. This is an on-site Full-Time position."
Business Analyst,Hybrid,"Dublin, County Dublin, Ireland",Product Delivery,Full time,Dublin,County Dublin,Ireland,Hybrid,Full-Time,Operations,Business Analyst,Ireland,Dublin,JOB_000071,LOC_0069,DEPT_0192,CAT_000,Normal-High,Europe,6,11.54,2026-02-23 17:13:21,100,True,"Analyze business processes and operational workflows to identify improvement opportunities. Gather and document business requirements, create process maps, and work with stakeholders to implement solutions. Use SQL and Excel to analyze operational data and generate reports. This is a hybrid Full-Time role with flexible work arrangements."
Business Analyst,On-site,"Cambridge, England, United Kingdom",Change+,Not Specified,Cambridge,England,United Kingdom,On-Site,Not Specified,Other,Business Analyst,United Kingdom,Cambridge,JOB_000072,LOC_0045,DEPT_0038,CAT_000,Normal,Europe,2,3.85,2026-02-23 17:13:21,100,True,"Analyze business operations and support strategic decision making. Gather requirements, document processes, and deliver data-driven recommendations using Excel, SQL, and visualization tools. This is an on-site Not Specified position."
Business Analyst,Remote,"Cherry Hill, New Jersey, United States",Unspecified Department,Contract,Cherry Hill,New Jersey,United States,Remote,Contract,Other,Business Analyst,United States,Cherry Hill,JOB_000073,LOC_0056,DEPT_0257,CAT_000,Normal,North America,1,1.92,2026-02-23 17:13:21,100,True,"Analyze business operations and support strategic decision making. Gather requirements, document processes, and deliver data-driven recommendations using Excel, SQL, and visualization tools. This is a fully remote Contract position."
Business Analyst,Hybrid,"Athens, Greece",Information Technology,Full time,Athens,Unknown,Greece,Hybrid,Full-Time,Technology & Data,Business Analyst,Greece,Athens,JOB_000075,LOC_0011,DEPT_0137,CAT_000,Normal-High,Europe,16,30.77,2026-02-23 17:13:21,100,True,"Bridge the gap between business needs and technical solutions. Analyze data systems, write functional specifications, and collaborate with development teams. Proficient in SQL, data modeling, and Agile methodologies. This is a hybrid Full-Time role with flexible work arrangements."
Business Analyst,Unknown,"Sacramento, California, United States",ITPM,Full time,Sacramento,California,United States,Unknown,Full-Time,Technology & Data,Business Analyst,United States,Sacramento,JOB_000079,LOC_0180,DEPT_0133,CAT_000,Normal,North America,4,7.69,2026-02-23 17:13:21,100,True,"Bridge the gap between business needs and technical solutions. Analyze data systems, write functional specifications, and collaborate with development teams. Proficient in SQL, data modeling, and Agile methodologies. This is an on-site Full-Time position."
Business Analyst,On-site,"Dublin, County Dublin, Ireland",Information Systems,Full time,Dublin,County Dublin,Ireland,On-Site,Full-Time,Other,Business Analyst,Ireland,Dublin,JOB_000085,LOC_0069,DEPT_0136,CAT_000,Normal,Europe,6,11.54,2026-02-23 17:13:21,100,True,"Analyze business operations and support strategic decision making. Gather requirements, document processes, and deliver data-driven recommendations using Excel, SQL, and visualization tools. This is an on-site Full-Time position."
Business Analyst,On-site,"Warrington, England, United Kingdom",Data+,Full time,Warrington,England,United Kingdom,On-Site,Full-Time,Technology & Data,Business Analyst,United Kingdom,Warrington,JOB_000088,LOC_0245,DEPT_0084,CAT_000,Normal,Europe,1,1.92,2026-02-23 17:13:21,100,True,"Bridge the gap between business needs and technical solutions. Analyze data systems, write functional specifications, and collaborate with development teams. Proficient in SQL, data modeling, and Agile methodologies. This is an on-site Full-Time position."
Business Analyst,Remote,France,Marketing,Full time,Unknown,Unknown,France,Remote,Full-Time,Marketing & Sales,Business Analyst,France,Unknown,JOB_000089,LOC_0218,DEPT_0155,CAT_000,Normal-High,Europe,3,5.77,2026-02-23 17:13:21,100,True,"Analyze marketing campaigns and sales performance data. Work with CRM systems, generate insights using Google Analytics and Tableau, and support go-to-market strategy. This is a fully remote Full-Time position."
Business Analyst,On-site,"Douala, Littoral, Cameroon",Unspecified Department,Full time,Douala,Littoral,Cameroon,On-Site,Full-Time,Other,Business Analyst,Cameroon,Douala,JOB_000090,LOC_0066,DEPT_0257,CAT_000,Normal,Middle East & Africa,1,1.92,2026-02-23 17:13:21,100,True,"Analyze business operations and support strategic decision making. Gather requirements, document processes, and deliver data-driven recommendations using Excel, SQL, and visualization tools. This is an on-site Full-Time position."
Business Analyst,Remote,Jordan,Unspecified Department,Not Specified,Unknown,Unknown,Jordan,Remote,Not Specified,Other,Business Analyst,Jordan,Unknown,JOB_000092,LOC_0225,DEPT_0257,CAT_000,Normal,Other,2,3.85,2026-02-23 17:13:21,100,True,"Analyze business operations and support strategic decision making. Gather requirements, document processes, and deliver data-driven recommendations using Excel, SQL, and visualization tools. This is a fully remote Not Specified position."
Business Analyst,On-site,"Lagos, Lagos, Nigeria",Information Technology,Full time,Lagos,Lagos,Nigeria,On-Site,Full-Time,Technology & Data,Business Analyst,Nigeria,Lagos,JOB_000093,LOC_0110,DEPT_0137,CAT_000,Normal,Middle East & Africa,10,19.23,2026-02-23 17:13:21,100,True,"Bridge the gap between business needs and technical solutions. Analyze data systems, write functional specifications, and collaborate with development teams. Proficient in SQL, data modeling, and Agile methodologies. This is an on-site Full-Time position."
Business Analyst,On-site,"Amman, Amman Governorate, Jordan","Sales, OLX Oman Jordan",Full time,Amman,Amman Governorate,Jordan,On-Site,Full-Time,Marketing & Sales,Business Analyst,Jordan,Amman,JOB_000094,LOC_0005,DEPT_0219,CAT_000,Normal,Other,4,7.69,2026-02-23 17:13:21,100,True,"Analyze marketing campaigns and sales performance data. Work with CRM systems, generate insights using Google Analytics and Tableau, and support go-to-market strategy. This is an on-site Full-Time position."
Business Analyst,On-site,"Cebu City, Central Visayas, Philippines",Unspecified Department,Full time,Cebu City,Central Visayas,Philippines,On-Site,Full-Time,Other,Business Analyst,Philippines,Cebu City,JOB_000095,LOC_0050,DEPT_0257,CAT_000,Normal,Asia Pacific,2,3.85,2026-02-23 17:13:21,100,True,"Analyze business operations and support strategic decision making. Gather requirements, document processes, and deliver data-driven recommendations using Excel, SQL, and visualization tools. This is an on-site Full-Time position."
Business Analyst,Remote,"London, England, United Kingdom",Analytics,Full time,London,England,United Kingdom,Remote,Full-Time,Technology & Data,Business Analyst,United Kingdom,London,JOB_000096,LOC_0117,DEPT_0015,CAT_000,Premium,Europe,52,100.0,2026-02-23 17:13:21,100,True,"Bridge the gap between business needs and technical solutions. Analyze data systems, write functional specifications, and collaborate with development teams. Proficient in SQL, data modeling, and Agile methodologies. This is a fully remote Full-Time position."
Business Analyst,Hybrid,"London, England, United Kingdom",Finance,Full time,London,England,United Kingdom,Hybrid,Full-Time,Finance & Accounting,Business Analyst,United Kingdom,London,JOB_000097,LOC_0117,DEPT_0110,CAT_000,Normal-High,Europe,52,100.0,2026-02-23 17:13:21,100,True,"Analyze financial data and processes to improve efficiency and accuracy. Work with ERP systems, create financial models, and support budgeting and forecasting activities using Excel and Power BI. This is a hybrid Full-Time role with flexible work arrangements."
Business Analyst,Remote,"Belle Isle, Florida, United States",Unspecified Department,Full time,Belle Isle,Florida,United States,Remote,Full-Time,Other,Business Analyst,United States,Belle Isle,JOB_000098,LOC_0025,DEPT_0257,CAT_000,Normal-High,North America,1,1.92,2026-02-23 17:13:21,100,True,"Analyze business operations and support strategic decision making. Gather requirements, document processes, and deliver data-driven recommendations using Excel, SQL, and visualization tools. This is a fully remote Full-Time position."
Business Analyst,On-site,"Belgrade, Vojvodina, Serbia",IMPLEMENTATIONS & DELIVERY,Full time,Belgrade,Vojvodina,Serbia,On-Site,Full-Time,Operations,Business Analyst,Serbia,Belgrade,JOB_000100,LOC_0024,DEPT_0129,CAT_000,Normal,Other,1,1.92,2026-02-23 17:13:21,100,True,"Analyze business processes and operational workflows to identify improvement opportunities. Gather and document business requirements, create process maps, and work with stakeholders to implement solutions. Use SQL and Excel to analyze operational data and generate reports. This is an on-site Full-Time position."
Business Analyst,Hybrid,"Auckland, Auckland, New Zealand",Insights,Full time,Auckland,Auckland,New Zealand,Hybrid,Full-Time,Other,Business Analyst,New Zealand,Auckland,JOB_000101,LOC_0013,DEPT_0139,CAT_000,Normal-High,Other,2,3.85,2026-02-23 17:13:21,100,True,"Analyze business operations and support strategic decision making. Gather requirements, document processes, and deliver data-driven recommendations using Excel, SQL, and visualization tools. This is a hybrid Full-Time role with flexible work arrangements."
Business Analyst,On-site,"Riyadh, Riyadh Province, Saudi Arabia",Commercial,Contract,Riyadh,Riyadh Province,Saudi Arabia,On-Site,Contract,Other,Business Analyst,Saudi Arabia,Riyadh,JOB_000102,LOC_0177,DEPT_0045,CAT_000,Normal,Other,10,19.23,2026-02-23 17:13:21,100,True,"Analyze business operations and support strategic decision making. Gather requirements, document processes, and deliver data-driven recommendations using Excel, SQL, and visualization tools. This is an on-site Contract position."
Business Analyst,On-site,"London, England, United Kingdom",Private Credit,Full time,London,England,United Kingdom,On-Site,Full-Time,Technology & Data,Business Analyst,United Kingdom,London,JOB_000103,LOC_0117,DEPT_0185,CAT_000,Normal,Europe,52,100.0,2026-02-23 17:13:21,100,True,"Bridge the gap between business needs and technical solutions. Analyze data systems, write functional specifications, and collaborate with development teams. Proficient in SQL, data modeling, and Agile methodologies. This is an on-site Full-Time position."
Business Analyst,On-site,"UK, United Kingdom, United Kingdom",Data+,Not Specified,UK,United Kingdom,United Kingdom,On-Site,Not Specified,Technology & Data,Business Analyst,United Kingdom,Uk,JOB_000104,LOC_0213,DEPT_0084,CAT_000,Normal,Europe,2,3.85,2026-02-23 17:13:21,100,True,"Bridge the gap between business needs and technical solutions. Analyze data systems, write functional specifications, and collaborate with development teams. Proficient in SQL, data modeling, and Agile methodologies. This is an on-site Not Specified position."
Business Analyst,Hybrid,"Melbourne, Victoria, Australia",Platform Product,Full time,Melbourne,Victoria,Australia,Hybrid,Full-Time,Other,Business Analyst,Australia,Melbourne,JOB_000105,LOC_0131,DEPT_0181,CAT_000,Normal-High,Asia Pacific,5,9.62,2026-02-23 17:13:21,100,True,"Analyze business operations and support strategic decision making. Gather requirements, document processes, and deliver data-driven recommendations using Excel, SQL, and visualization tools. This is a hybrid Full-Time role with flexible work arrangements."
Business Analyst,On-site,"Bengaluru, Karnataka, India",Unspecified Department,Full time,Bengaluru,Karnataka,India,On-Site,Full-Time,Other,Business Analyst,India,Bengaluru,JOB_000106,LOC_0027,DEPT_0257,CAT_000,Normal,Asia Pacific,16,30.77,2026-02-23 17:13:21,100,True,"Analyze business operations and support strategic decision making. Gather requirements, document processes, and deliver data-driven recommendations using Excel, SQL, and visualization tools. This is an on-site Full-Time position."
Business Analyst,On-site,"Leeds, England, United Kingdom",Research Analysts,Contract,Leeds,England,United Kingdom,On-Site,Contract,Other,Business Analyst,United Kingdom,Leeds,JOB_000107,LOC_0113,DEPT_0210,CAT_000,Normal,Europe,1,1.92,2026-02-23 17:13:21,100,True,"Analyze business operations and support strategic decision making. Gather requirements, document processes, and deliver data-driven recommendations using Excel, SQL, and visualization tools. This is an on-site Contract position."
Business Analyst,On-site,"Sydney, New South Wales, Australia",IT,Contract,Sydney,New South Wales,Australia,On-Site,Contract,Technology & Data,Business Analyst,Australia,Sydney,JOB_000108,LOC_0203,DEPT_0131,CAT_000,Normal,Asia Pacific,5,9.62,2026-02-23 17:13:21,100,True,"Bridge the gap between business needs and technical solutions. Analyze data systems, write functional specifications, and collaborate with development teams. Proficient in SQL, data modeling, and Agile methodologies. This is an on-site Contract position."
Business Analyst,On-site,"Chalcis, Central Greece, Greece",Αθήνα,Other,Chalcis,Central Greece,Greece,On-Site,Not Specified,Other,Business Analyst,Greece,Chalcis,JOB_000109,LOC_0052,DEPT_0264,CAT_000,Normal,Europe,1,1.92,2026-02-23 17:13:21,100,True,"Analyze business operations and support strategic decision making. Gather requirements, document processes, and deliver data-driven recommendations using Excel, SQL, and visualization tools. This is an on-site Not Specified position."
Business Analyst,Remote,"Arlington, Virginia, United States",Digital Services,Full time,Arlington,Virginia,United States,Remote,Full-Time,Technology & Data,Business Analyst,United States,Arlington,JOB_000110,LOC_0009,DEPT_0093,CAT_000,Premium,North America,5,9.62,2026-02-23 17:13:21,100,True,"Bridge the gap between business needs and technical solutions. Analyze data systems, write functional specifications, and collaborate with development teams. Proficient in SQL, data modeling, and Agile methodologies. This is a fully remote Full-Time position."
